zipcode,concelho,distrito
7800-780,,
7830-000,,
7750-104,Mértola,Beja
8005-073,Faro,Faro
8005-321,,
8700-283,,
8005-000,,
8000-136,Faro,Faro
8005-127,,
8000-000,,
8005-072,Faro,Faro
8005-298,,
8000-147,,
8005-308,,
8005-311,,
8005-124,,
8005-315,,
8600-000,,
8600-269,Lagos,Faro
8600-265,Lagos,Faro
8600-647,,
8100-659,,
8135-000,,
8100-000,,
8100-657,,
8125-463,,
8125-032,,
8100-645,,
8125-000,,
8125-810,,
8125-161,Loulé,Faro
8125-155,Loulé,Faro
8700-000,,
8700-045,Olhão,Faro
8700-168,Olhão,Faro
8700-229,Olhão,Faro
8700-244,,
8365-000,Silves,Faro
8300-000,,
8800-436,Tavira,Faro
8800-000,,
8800-465,Tavira,Faro
8500-470,,
8500-517,,
8500-803,,
8500-000,,
8500-301,,
8500-447,,
8500-516,,
8500-295,Portimão,Faro
8500-482,,
8500-079,,
8500-838,,
8500-779,,
8500-312,,
8500-053,,
8500-713,,
8200-916,,
8200-361,,
8200-238,,
8950-000,,
8400-000,,
8150-000,,
8900-489,Vila Real de Santo António,Faro
8900-414,,
8900-000,,
8900-100,,
4820-000,,
4710-174,,
4700-000,,
4700-164,,
4710-038,,
4705-000,,
4700-249,,
4700-761,Braga,Braga
4710-000,,
4715-000,,
4700-913,,
4710-358,,
4710-252,,
4700-189,,
4700-012,,
4720-000,,
4815-766,Guimarães,Braga
4815-000,,
4750-206,,
4755-000,,
4750-000,,
4740-000,,
4740-307,Esposende,Braga
4805-000,,
4810-000,,
4810-536,,
4765-698,,
4810-545,,
4810-248,,
4765-469,,
4800-000,,
4835-024,,
4810-082,Guimarães,Braga
4835-000,,
4810-066,,
4730-714,,
4730-687,,
4730-000,,
4730-118,Vila Verde,Braga
4830-000,,
4890-000,,
4765-631,,
4760-000,,
4765-000,,
4770-000,,
7000-773,,
7000-699,,
7005-000,,
7000-233,,
7170-000,,
7040-000,,
7150-000,,
7160-000,,
7050-000,,
7200-000,,
7200-490,Reguengos de Monsaraz,Évora
4470-538,,
4475-000,,
4425-131,,
4425-299,Maia,Porto
4425-244,Maia,Porto
4475-316,Maia,Porto
4470-000,,
4425-000,,
4640-000,,
4250-000,,
4000-000,,
4300-000,,
4100-155,,
4000-317,,
4200-275,,
4350-000,,
4100-467,Porto,Porto
4200-000,,
4200-300,,
4050-000,,
4100-000,,
4200-402,,
4000-127,,
4150-000,,
4150-073,Porto,Porto
4745-000,,
4785-000,,
4620-151,,
4620-000,,
4580-384,Paredes,Porto
4580-498,,
4580-851,,
4585-942,Paredes,Porto
4585-477,,
4585-029,Paredes,Porto
4580-000,,
4580-521,,
4580-639,Paredes,Porto
4580-572,,
4585-921,Paredes,Porto
4580-517,,
4585-000,,
4445-000,,
4440-000,,
4615-517,,
4605-000,,
4600-000,,
4615-283,,
4510-000,,
4510-514,,
4420-000,,
4435-726,,
4435-359,,
4420-592,,
4510-611,,
4420-630,Gondomar,Porto
4435-064,Gondomar,Porto
4435-779,,
4435-000,,
4435-304,,
4575-201,Penafiel,Porto
4560-000,,
4575-116,Penafiel,Porto
4560-842,,
4560-868,,
4560-830,,
4575-000,,
4610-163,,
4615-000,,
4650-000,,
4610-719,,
4615-352,,
4610-000,,
4610-606,,
4450-716,Matosinhos,Porto
4465-760,,
4460-757,Matosinhos,Porto
4465-668,,
4460-092,Matosinhos,Porto
4465-065,,
4460-808,,
4455-819,,
4460-000,,
4465-000,,
4460-016,,
4450-169,Matosinhos,Porto
4450-421,,
4465-705,,
4450-450,Matosinhos,Porto
4455-000,,
4450-397,Matosinhos,Porto
4450-000,,
4465-034,,
4455-160,Matosinhos,Porto
4450-409,Matosinhos,Porto
4465-050,,
4780-000,,
4795-000,,
4485-967,Vila do Conde,Porto
4485-000,,
4480-736,,
4480-000,,
4480-679,,
4480-739,,
4480-206,,
4495-000,,
4495-617,,
4495-595,,
4495-627,,
4495-631,,
4495-641,,
4495-494,,
4490-000,,
4595-000,,
4590-000,,
4415-000,,
4415-567,Vila Nova de Gaia,Porto
4405-495,,
4400-494,,
4400-000,,
4400-104,,
4430-634,Vila Nova de Gaia,Porto
4413-302,Vila Nova de Gaia,Porto
4410-000,,
4415-568,Vila Nova de Gaia,Porto
4410-315,,
4400-719,Vila Nova de Gaia,Porto
4405-000,,
4430-000,,
4415-294,,
4405-112,,
4405-387,,
4625-000,,
4635-000,,
4625-541,,
4630-000,,
4630-211,Marco de Canaveses,Porto
3520-042,,
3520-000,,
3500-022,,
3515-475,Viseu,Viseu
3510-000,,
3510-143,Viseu,Viseu
3510-792,,
3500-504,,
3500-000,,
3515-000,,
3505-093,,
3510-166,,
3510-215,Viseu,Viseu
3515-386,Viseu,Viseu
3510-314,,
3500-462,Viseu,Viseu
3505-000,,
3505-513,,
3510-588,Viseu,Viseu
5100-008,,
5100-000,,
5100-183,,
5100-020,,
5100-207,Lamego,Viseu
5100-007,,
4660-000,,
3610-168,Tarouca,Viseu
3530-138,,
3430-000,,
3430-010,,
3440-397,,
3440-000,,
3660-169,,
3660-000,,
3680-000,,
5130-000,,
3880-000,,
3885-000,,
3840-222,Vagos,Aveiro
3840-000,,
3750-761,Águeda,Aveiro
3750-000,,
3750-839,Águeda,Aveiro
3780-000,,
4540-000,,
3800-278,Aveiro,Aveiro
3810-000,,
3800-000,,
3810-330,,
3800-825,Aveiro,Aveiro
3830-000,,
3830-889,,
4500-294,,
4500-000,,
3050-000,,
3730-000,,
4550-000,,
3770-000,,
3720-000,Oliveira de Azeméis,Aveiro
3720-141,,
3720-924,Oliveira de Azeméis,Aveiro
3700-010,São João da Madeira,Aveiro
3700-000,,
4520-555,Santa Maria da Feira,Aveiro
4520-751,,
4520-907,,
4520-001,,
4505-000,,
4535-196,Santa Maria da Feira,Aveiro
4525-000,,
4520-467,,
4535-000,,
4520-000,,
4535-062,Santa Maria da Feira,Aveiro
6300-340,Guarda,Guarda
2400-809,,
2420-649,,
2425-000,,
2400-533,,
2415-000,,
2415-640,,
2420-075,,
2400-078,,
2400-163,,
2410-000,,
2420-000,,
2400-000,,
3105-561,Pombal,Leiria
3100-534,,
3100-130,Pombal,Leiria
3105-000,,
3100-000,,
2440-000,,
2520-000,,
2460-000,,
2475-000,,
2540-000,,
2480-000,,
2485-000,,
2430-822,,
2430-000,,
2430-202,,
2430-011,,
2430-170,,
2430-391,,
2430-070,,
2430-359,,
2500-000,,
2665-000,,
2640-585,Mafra,Lisboa
2640-000,,
2655-505,Mafra,Lisboa
2655-000,,
1990-337,,
1050-000,,
1750-000,,
1070-000,,
1950-422,Lisboa,Lisboa
1900-000,,
1950-418,Lisboa,Lisboa
1600-000,,
1990-000,,
1000-000,,
1350-184,,
1990-307,,
1600-260,,
1900-718,,
1400-151,,
1950-017,Lisboa,Lisboa
1300-000,,
1800-000,,
1603-160,,
1400-000,,
1750-491,Lisboa,Lisboa
1990-080,Lisboa,Lisboa
1990-031,,
1250-000,,
1170-000,,
1700-000,,
1600-369,Lisboa,Lisboa
1600-352,,
1100-000,,
1750-213,,
1200-000,,
1950-000,,
1150-000,,
1750-382,Lisboa,Lisboa
1750-383,Lisboa,Lisboa
1350-000,,
1500-000,,
2685-000,,
2680-436,,
2695-749,,
2695-764,,
2685-119,,
2680-000,,
2690-771,,
1885-000,,
2695-000,,
2690-396,,
2670-000,,
2690-099,,
2680-251,,
2670-402,Loures,Lisboa
1990-105,Lisboa,Lisboa
1990-102,,
2695-369,,
2660-000,,
2690-650,,
2695-179,,
2695-375,,
2690-000,,
2695-200,,
2730-000,,
2780-000,,
2770-000,,
2790-000,,
1495-073,,
2740-204,,
2740-734,,
2740-000,,
1495-000,,
2795-000,,
2760-000,,
2635-000,,
2725-000,,
2605-466,,
2705-589,,
2710-000,,
2635-479,,
2635-070,,
2705-000,,
2745-376,Sintra,Lisboa
2715-251,,
2745-628,,
2715-770,Sintra,Lisboa
2715-000,,
2745-000,,
2605-465,,
2715-147,Sintra,Lisboa
2735-000,,
2605-000,,
2605-462,,
2720-754,Amadora,Lisboa
2610-000,,
2720-824,Amadora,Lisboa
2720-000,,
2650-000,,
2723-272,,
2650-762,,
2610-535,,
2700-000,,
2720-823,Amadora,Lisboa
2779-513,,
2765-000,,
2645-383,,
2785-354,,
2785-000,,
2645-154,,
2750-000,,
2755-000,,
2765-004,,
2775-000,,
2645-000,,
2775-050,,
2755-074,,
2765-718,,
2580-000,,
2580-523,Alenquer,Lisboa
2580-540,,
2050-044,,
2050-000,,
2050-453,,
2530-000,,
2675-070,,
2675-063,,
2620-541,,
1675-132,,
1685-555,Odivelas,Lisboa
2675-000,,
2675-223,Odivelas,Lisboa
1685-000,,
2620-000,,
2620-740,,
2620-372,,
1675-210,,
2675-522,,
1675-000,,
2565-000,,
2560-000,,
